"customer_id","date","number_of_items","revenue"
1,19970101,1,11.77
2,19970112,1,12
2,19970112,5,77
3,19970102,2,20.76
3,19970330,2,20.76
3,19970402,2,19.54
3,19971115,5,57.45
3,19971125,4,20.96
4,19970101,2,29.33
4,19970118,2,29.73
4,19970802,1,14.96
4,19971212,2,26.48
5,19970101,2,29.33
5,19970114,1,13.97
5,19970204,3,38.9
5,19970411,3,45.55
5,19970531,3,38.71
5,19970616,2,26.14
5,19970722,2,28.14
5,19970915,3,40.47
5,19971208,4,46.46
5,19971212,3,40.47
5,19980103,3,37.47
6,19970101,1,20.99
7,19970101,2,28.74
7,19971011,7,97.43
8,19970101,1,NA
8,19970213,1,13.97
8,19970617,3,45.29
8,19970703,2,36.76
8,19971116,1,NA
8,19971116,7,50.43
8,19971225,1,13.99
9,19970101,2,23.54
9,19970513,2,30.33
10,19970121,3,39.31
11,19970101,1,13.49
11,19970128,1,19.3
11,19970317,1,12.77
11,19980220,1,12.99
12,19970101,4,57.06
13,19970101,4,72.94
14,19970101,2,29.92
15,19970101,4,52.87
16,19970101,1,NA
16,19970713,2,31.6
16,19970726,4,28.51
16,19970910,1,NA
17,19970101,5,73.22
18,19970104,1,14.96
19,19970101,NA,NA
19,19970610,1,11.77
20,19970101,NA,NA
20,19970118,NA,NA
21,19970101,3,63.34
21,19970113,1,11.77
22,19970101,1,14.37
23,19970101,2,24.74
24,19970101,3,47.28
24,19980120,1,10.49
25,19970101,2,24.96
25,19970718,1,13.9
25,19970817,1,12.25
25,19971024,1,12.99
26,19970101,3,42.72
26,19970126,3,59.97
27,19970107,6,83.41
27,19970112,4,52.46
28,19970101,3,39.51
28,19970127,2,25.74
28,19970308,2,25.74
29,19970101,3,46.72
29,19970206,3,67.31
29,19970309,3,41.1
29,19970405,3,44.52
29,19970420,1,13.97
29,19970504,2,26.14
29,19970530,1,32.45
29,19970713,2,37.65
29,19970713,2,26.74
29,19970906,1,14.79
29,19971102,3,35.97
30,19970101,1,14.37
30,19970214,1,13.97
31,19970101,4,59.06
32,19970101,3,49.97
32,19970124,1,16.36
33,19970101,3,41.69
33,19970121,2,29.92
33,19970216,5,73.42
33,19970502,2,40.74
33,19970514,3,54.25
33,19970601,1,14.96
33,19970604,2,30.13
33,19970829,2,35.69
33,19970906,1,11.77
33,19971002,3,45.47
33,19971003,2,34.98
33,19971005,3,54.97
33,19971013,5,69.45
33,19971019,3,48.97
33,19971031,4,54.46
33,19971106,5,66.45
33,19971109,3,67.47
33,19971110,1,13.99
33,19971118,1,14.49
33,19971123,4,55.96
33,19971125,3,36.97
33,19980113,3,36.97
33,19980227,3,34.47
34,19970101,2,23.14
35,19970101,2,26.73
35,19970927,1,15.49
36,19970101,3,37.91
36,19970203,1,11.77
37,19970129,2,31.26
37,19970306,2,29.13
37,19970628,1,13.97
37,19970816,1,14.37
37,19971102,3,39.47
38,19970101,1,12.49
39,19970101,3,33.33
39,19970313,4,50.68
39,19970514,2,28.93
40,19970101,2,28.34
40,19970308,1,13.97
40,19970503,1,15.96
40,19970830,1,14.96
40,19970914,3,44.47
40,19970914,1,13.99
40,19970914,1,22.99
40,19971025,2,25.98
40,19971213,1,16.99
40,19971214,4,54.96
40,19980215,1,12.58
40,19980215,1,NA
40,19980225,3,36.34
41,19970101,1,17.99
42,19970101,3,26.55
42,19970102,1,11.77
43,19970101,2,29.33
43,19970216,2,25.74
43,19970301,1,10.77
43,19971128,1,36.99
44,19970101,2,30.32
44,19970104,1,14.37
44,19970619,1,14.96
45,19970101,1,14.37
46,19970101,3,41.53
46,19970125,4,60.11
46,19970316,3,45.09
46,19970809,4,58.07
46,19970824,4,57.11
46,19971002,2,26.98
46,19971112,2,26.98
47,19970101,3,37.91
47,19970105,2,25.74
47,19970126,3,44.97
47,19970216,1,15.37
47,19970223,2,30.92
47,19970309,1,17.96
47,19970309,1,NA
47,19970316,2,27.94
47,19970406,1,13.97
47,19970407,1,14.79
47,19970419,1,19.97
47,19970423,1,41.77
47,19970615,1,19.99
47,19970622,1,NA
47,19970809,1,NA
47,19971101,1,19.49
47,19980225,1,12.99
48,19970101,4,52.72
48,19970126,4,73.5
48,19970210,3,37.93
48,19970323,1,12.49
48,19970325,4,46.5
48,19970609,2,29.92
48,19970730,3,42.85
48,19970815,1,15.36
48,19970824,1,24.37
48,19971014,1,25.49
48,19971017,2,25.98
48,19971020,1,20.99
48,19971103,2,41.98
48,19971111,3,42.47
48,19971124,2,16.98
48,19971204,1,NA
48,19980109,3,40.47
49,19970101,2,27.94
50,19970101,1,NA
51,19970127,5,71.42
51,19970707,8,NA
51,19970901,7,NA
51,19971129,5,53.95
51,19971129,1,13.99
51,19971201,1,11.49
52,19970102,3,80.95
52,19970106,2,23.14
52,19970119,2,33.98
52,19970122,2,27.74
52,19970129,3,38.33
52,19970518,4,59.84
52,19970621,7,NA
53,19970101,1,19.99
53,19970819,1,14.37
53,19971210,1,11.49
53,19980127,1,11.88
53,19980209,1,14.49
54,19970101,2,33.96
55,19970101,5,66.09
55,19970110,1,15.36
56,19970101,2,27.73
56,19970117,1,15.96
56,19970601,2,21.54
56,19971217,4,63.96
57,19970101,4,57.86
58,19970101,1,20.99
59,19970101,1,13.99
59,19970109,1,11.77
59,19970125,1,10.77
60,19970201,2,21.75
61,19970101,NA,NA
62,19970101,3,32.91
62,19970117,1,17.96
62,19970213,1,13.97
62,19970308,2,24.54
62,19970314,2,28.14
62,19970514,2,14.55
62,19970521,1,NA
62,19970827,1,15.36
62,19971001,2,25.98
62,19971016,1,15.99
62,19971029,3,41.97
63,19970101,3,44.97
63,19971122,2,26.98
64,19970103,1,11.77
64,19970212,2,13.98
64,19970512,1,11.77
64,19970513,1,14.96
64,19970722,1,15.36
64,19970920,3,41.47
64,19971104,3,53.47
64,19971128,8,59.92
64,19971230,3,41.97
65,19970101,1,18.77
65,19980216,2,35.98
66,19970101,1,39.99
67,19970101,2,29.73
67,19970108,1,29.99
67,19970117,1,11.77
68,19970101,2,40.36
69,19970101,6,NA
69,19970104,8,NA
70,19970101,5,72.23
71,19970101,1,13.97
72,19970101,1,11.99
73,19970101,1,13.97
73,19970228,2,24.14
73,19970316,4,56.46
74,19970101,1,41.99
75,19970101,5,69.81
76,19970101,1,NA
77,19970101,1,12.97
78,19970113,3,41.52
79,19970101,6,77.44
80,19970101,4,43.46
81,19970101,2,74.76
81,19970110,2,56.36
81,19970117,3,35.31
81,19970202,2,27.76
81,19970220,3,35.31
81,19970305,1,14.99
81,19970405,1,13.77
81,19970524,1,14.96
81,19970605,5,82.79
81,19970609,1,NA
81,19970619,1,14.96
81,19970722,1,11.97
81,19970915,2,26.98
81,19970927,1,12.99
82,19970101,3,38.5
82,19970419,3,48.5
82,19970927,2,30.98
82,19971123,3,43.97
82,19980227,3,40.56
83,19970101,1,13
83,19970126,3,47.69
83,19970723,3,19.5
84,19970101,1,13.97
85,19970103,3,26.31
86,19970101,2,23.94
87,19970101,7,NA
87,19970531,2,29.92
87,19970731,3,45.28
87,19971008,2,27.98
88,19970224,1,14.99
88,19971022,2,19.98
89,19970101,3,47.08
89,19970111,2,30.72
89,19970129,2,30.72
89,19970327,2,27.13
89,19970411,1,20.97
89,19970527,1,15.36
89,19970730,4,60.67
89,19970823,2,46.42
89,19971017,2,27.48
89,19971030,2,18.98
89,19971205,3,39.97
89,19971222,2,29.48
89,19971226,3,31.97
89,19971229,1,19.49
89,19980123,2,34.98
89,19980211,2,26.98
89,19980227,1,22.49
90,19970101,1,12.9
90,19970108,1,11.77
91,19970101,2,32.54
