"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-11-01","Broad",0,3,0,5.3,6,0
"2013-11-08","Broad",0,4,0,2.5,7,0
"2013-10-25","Broad",0,13,0,2.6,7,0
"2013-10-17","Broad",1,1,0.53,2,6,0
"2013-11-03","Exact",0,1,0,2,4,0
"2013-11-03","Broad",1,122,1.27,2.6,6,0
"2013-10-22","Phrase",0,8,0,2.8,5,0
"2013-11-07","Broad",0,14,0,1.7,4,0
"2013-10-23","Phrase",0,4,0,3,6,0
"2013-11-09","Broad",2,17,2.9,1.8,7,0
"2013-10-27","Broad",0,3,0,3,5,0
"2013-10-31","Phrase",1,2,0.4,1.5,6,0
"2013-11-02","Broad",0,3,0,2,7,0
"2013-11-09","Phrase",0,12,0,1.1,3,0
"2013-10-14","Phrase",0,2,0,2.5,4,0
"2013-11-05","Phrase",0,1,0,1,6,0
"2013-10-23","Broad",2,17,1.93,5.6,6,0
"2013-10-26","Broad",0,9,0,3.6,4,0
"2013-11-08","Phrase",0,1,0,3,6,0
"2013-11-10","Broad",2,20,1.02,1.3,6,0
"2013-10-19","Phrase",0,3,0,1,7,0
"2013-10-26","Broad",0,3,0,2,7,0
"2013-10-24","Broad",0,6,0,4.5,6,0
"2013-10-24","Phrase",0,10,0,1.1,6,0
"2013-10-31","Exact",0,1,0,1,7,0
"2013-10-30","Broad",0,1,0,5,6,0
"2013-10-25","Broad",0,1,0,3,6,0
"2013-11-01","Exact",0,1,0,1,5,0
"2013-10-14","Exact",3,16,2.75,1,6,0
"2013-11-03","Broad",0,10,0,4,6,0
"2013-10-14","Broad",0,1,0,5,4,0
"2013-11-12","Broad",0,1,0,7,6,0
"2013-10-29","Phrase",0,1,0,2,6,0
"2013-11-07","Exact",0,1,0,1,6,0
"2013-10-16","Exact",0,1,0,2,6,0
"2013-10-22","Broad",9,444,12.48,2,6,0
"2013-10-25","Broad",0,1,0,2,7,0
"2013-11-01","Broad",0,1,0,2,5,0
"2013-10-16","Broad",0,17,0,4.8,7,0
"2013-10-22","Broad",0,2,0,3,7,0
"2013-10-14","Broad",0,1,0,3,6,0
"2013-11-10","Broad",0,3,0,4.7,6,0
"2013-11-06","Broad",0,1,0,7,9,0
"2013-11-07","Broad",0,17,0,5.3,7,0
"2013-11-01","Phrase",0,1,0,1,7,0
"2013-10-22","Broad",0,1,0,2,7,0
"2013-10-27","Broad",0,1,0,2,6,0
"2013-10-28","Exact",0,2,0,2,4,0
"2013-11-06","Phrase",0,1,0,1,6,0
"2013-10-28","Broad",3,24,2.16,3.1,7,0
"2013-11-07","Broad",3,48,2.18,1.8,3,0
"2013-11-02","Phrase",0,16,0,2.9,6,0
"2013-10-16","Phrase",0,7,0,1.1,5,0
"2013-10-16","Exact",0,2,0,2,4,0
"2013-11-09","Broad",0,2,0,4.5,7,0
"2013-10-31","Broad",0,7,0,1.7,6,0
"2013-11-05","Broad",0,2,0,1,6,0
"2013-10-26","Broad",0,1,0,3,6,0
"2013-10-22","Broad",0,1,0,2,7,0
"2013-10-15","Broad",1,7,1.88,2,6,0
"2013-10-31","Broad",1,77,1,5.8,6,0
"2013-10-27","Broad",1,26,0.93,2.2,7,0
"2013-11-06","Broad",0,1,0,1,7,0
"2013-11-06","Phrase",0,1,0,2,6,0
"2013-11-11","Broad",0,1,0,6,6,0
"2013-10-28","Broad",0,1,0,3,6,0
"2013-10-16","Broad",1,20,0.94,3.3,7,0
"2013-10-18","Exact",0,1,0,2,6,0
"2013-11-10","Broad",0,1,0,1,6,0
"2013-10-21","Broad",1,13,0.75,3.1,4,0
"2013-11-07","Exact",0,1,0,2,6,0
"2013-11-02","Broad",0,8,0,3.4,5,0
"2013-10-16","Broad",0,18,0,4.2,5,0
"2013-11-12","Phrase",0,1,0,2,7,0
"2013-10-19","Broad",1,4,0.34,2,6,0
"2013-10-24","Broad",0,9,0,1.6,9,0
"2013-10-30","Broad",0,2,0,1.5,6,0
"2013-11-10","Broad",1,10,0.98,3,7,0
"2013-10-24","Exact",0,2,0,2.5,6,0
"2013-10-14","Broad",0,7,0,1.9,6,0
"2013-11-01","Broad",0,2,0,2.5,10,0
"2013-11-03","Broad",0,3,0,2.7,7,0
"2013-10-16","Broad",0,1,0,2,6,0
"2013-11-02","Phrase",1,36,0.9,2.9,4,0
"2013-10-20","Exact",0,9,0,1,3,0
"2013-11-07","Phrase",0,5,0,1,5,0
"2013-10-23","Exact",0,3,0,1,7,0
"2013-10-30","Phrase",0,2,0,2.5,8,0
"2013-10-18","Broad",0,1,0,2,8,0
"2013-11-07","Phrase",0,2,0,1,6,0
"2013-10-24","Phrase",0,1,0,5,4,0
"2013-11-02","Exact",0,2,0,1,7,0
"2013-11-10","Broad",1,6,0.78,2.5,7,0
"2013-10-21","Exact",0,1,0,3,6,0
